subject,area_real,dias_legales,urgencia
Solicitud de alineamiento de predio y planos de zonificación,Desarrollo Urbano,65,Baja
Obstrucción de pasadizos de evacuación en galería comercial del jirón Grau,Defensa Civil,15,Alta
Solicitud de certificado catastral e información sobre zonificación de mi predio en San Martín,Desarrollo Urbano,33,Baja
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,25,Media
Repavimentación y parchado de pista rota en el pasaje Tacna,Desarrollo Urbano,35,Media
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,30,Media
Solicitud de estado de cuenta de arbitrios e impuesto predial,Rentas y Administración,45,Baja
Repavimentación y parchado de pista rota en el pasaje Puno,Desarrollo Urbano,25,Media
Hueco en la calzada de la calle La Unión que daña los vehículos,Desarrollo Urbano,35,Media
Discoteca y bar clandestino abierto hasta altas horas de la madrugada en Huallaga,Licencias y Fiscalización,12,Alta
Fraccionamiento de deuda tributaria de años anteriores de predio en Lima,Rentas y Administración,50,Baja
Árbol seco y carcomido a punto de caer sobre la vereda frente al número 689,Medio Ambiente,9,Alta
Estructura metálica de cartel publicitario debilitada por el viento con riesgo de caída,Defensa Civil,13,Alta
Limpieza de desmonte y tierra acumulada en la berma central de la Av. Lampa,Medio Ambiente,25,Media
Fiscalización de restaurante por condiciones insalubres y olores fuertes en Lampa,Licencias y Fiscalización,15,Alta
Pared agrietada de casona antigua con grave riesgo de colapso en el jirón Bolognesi,Defensa Civil,11,Alta
Actualización de datos de contribuyente y cambio de domicilio fiscal,Rentas y Administración,55,Baja
Solicitud de donación de plantones de árboles para campaña de arborización,Medio Ambiente,55,Baja
Establecimiento educativo no cuenta con extintores ni señalización de evacuación,Defensa Civil,20,Alta
Cables eléctricos pelados y expuestos al aire libre frente a parque público,Defensa Civil,14,Alta
Solicitud de donación de plantones de árboles para campaña de arborización,Medio Ambiente,55,Baja
Instalación de letrero publicitario comercial sin autorización municipal,Licencias y Fiscalización,55,Baja
Solicitud de donación de plantones de árboles para campaña de arborización,Medio Ambiente,55,Baja
Solicitud de regado y mantenimiento de áreas verdes del parque principal,Medio Ambiente,50,Baja
Hueco en la calzada de la calle Cuzco que daña los vehículos,Desarrollo Urbano,30,Media
Licencia de habilitación urbana y subdivisión de lote multifamiliar,Desarrollo Urbano,40,Baja
Cables eléctricos pelados y expuestos al aire libre frente a parque público,Defensa Civil,8,Alta
Emisión de constancia de no adeudo tributario para transferencia de inmueble,Rentas y Administración,65,Baja
Fraccionamiento de deuda tributaria de años anteriores de predio en Huancavelica,Rentas y Administración,45,Baja
Discoteca y bar clandestino abierto hasta altas horas de la madrugada en Junín,Licencias y Fiscalización,7,Alta
Establecimiento educativo no cuenta con extintores ni señalización de evacuación,Defensa Civil,15,Alta
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,30,Media
Acumulación de basura y residuos sólidos en la esquina del parque de la calle Lampa,Medio Ambiente,15,Alta
Vecino arroja agua sucia y desperdicios al jardín público de la Av. Bolognesi,Medio Ambiente,30,Media
Solicitud de evaluación de riesgos por filtración de agua que debilita bases de vivienda,Defensa Civil,30,Media
Local comercial opera sin licencia de funcionamiento ni medidas básicas,Licencias y Fiscalización,30,Media
Vecino arroja agua sucia y desperdicios al jardín público de la Av. Lima,Medio Ambiente,35,Media
Simulacro municipal y capacitación de brigadas de Defensa Civil en Huallaga,Defensa Civil,60,Baja
Obstrucción de pasadizos de evacuación en galería comercial del jirón Junín,Defensa Civil,20,Alta
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,35,Media
Solicitud de regado y mantenimiento de áreas verdes del parque principal,Medio Ambiente,50,Baja
Solicitud de regado y mantenimiento de áreas verdes del parque principal,Medio Ambiente,45,Baja
Consulta sobre descuentos y beneficios para el pronto pago de arbitrios,Rentas y Administración,40,Baja
Solicitud de certificado catastral e información sobre zonificación de mi predio en Puno,Desarrollo Urbano,60,Baja
Hueco en la calzada de la calle Tacna que daña los vehículos,Desarrollo Urbano,30,Media
Solicitud de regado y mantenimiento de áreas verdes del parque principal,Medio Ambiente,50,Baja
Solicitud de alineamiento de predio y planos de zonificación,Desarrollo Urbano,60,Baja
Estructura metálica de cartel publicitario debilitada por el viento con riesgo de caída,Defensa Civil,5,Alta
Plaga de roedores en los jardines públicos cercanos a la calle Bolognesi,Medio Ambiente,20,Alta
Construcción clandestina vecinal que invade retiro municipal en Grau,Desarrollo Urbano,8,Alta
Licencia de habilitación urbana y subdivisión de lote multifamiliar,Desarrollo Urbano,50,Baja
Solicitud de donación de plantones de árboles para campaña de arborización,Medio Ambiente,60,Baja
Error en el registro del autovalúo del predio ubicado en Huancavelica número 822,Rentas y Administración,35,Media
Fraccionamiento de deuda tributaria de años anteriores de predio en Cuzco,Rentas y Administración,40,Baja
Emisión de constancia de no adeudo tributario para transferencia de inmueble,Rentas y Administración,55,Baja
Establecimiento educativo no cuenta con extintores ni señalización de evacuación,Defensa Civil,10,Alta
Bache enorme y peligroso en la pista de la Av. Larco cuadra 150,Desarrollo Urbano,9,Alta
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,25,Media
Fiscalización de restaurante por condiciones insalubres y olores fuertes en 28 de Julio,Licencias y Fiscalización,10,Alta
Derrumbe parcial de vereda pública frente a la casa 652 de la calle San Martín,Desarrollo Urbano,20,Alta
Emisión de constancia de no adeudo tributario para transferencia de inmueble,Rentas y Administración,65,Baja
Plaga de roedores en los jardines públicos cercanos a la calle La Unión,Medio Ambiente,10,Alta
Bache enorme y peligroso en la pista de la Av. Larco cuadra 949,Desarrollo Urbano,10,Alta
Solicitud de donación de plantones de árboles para campaña de arborización,Medio Ambiente,65,Baja
Fiscalización de restaurante por condiciones insalubres y olores fuertes en Puno,Licencias y Fiscalización,15,Alta
Árbol seco y carcomido a punto de caer sobre la vereda frente al número 773,Medio Ambiente,15,Alta
Derrumbe parcial de vereda pública frente a la casa 318 de la calle Tacna,Desarrollo Urbano,10,Alta
Vecino arroja agua sucia y desperdicios al jardín público de la Av. Huancavelica,Medio Ambiente,30,Media
Solicitud de certificado catastral e información sobre zonificación de mi predio en Bolognesi,Desarrollo Urbano,35,Baja
